SCIENTIFIC_NAME,BEGAN_DATE,DEC_LAT,DEC_LONG,DETECTED
Reithrodontomys mexicanus,3/19/2012,8.893566667,-82.61575,virus: Orthohantavirus
Reithrodontomys mexicanus,3/19/2012,8.893566667,-82.61575,virus: Orthohantavirus
Reithrodontomys mexicanus,3/19/2012,8.894316667,-82.6151,virus: Orthohantavirus
Reithrodontomys creper,3/19/2012,8.893566667,-82.61575,virus: Orthohantavirus
Reithrodontomys mexicanus,3/19/2012,8.893566667,-82.61575,virus: Orthohantavirus
Peromyscus nudipes,3/19/2012,8.893566667,-82.61575,virus: Orthohantavirus
Reithrodontomys creper,3/20/2012,8.893566667,-82.61575,virus: Orthohantavirus
Reithrodontomys mexicanus,3/20/2012,8.891833333,-82.61276667,virus: Orthohantavirus
Reithrodontomys mexicanus,5/6/2011,8.902545,-82.735114,virus: Orthohantavirus
Oligoryzomys costaricensis,5/30/2011,9.0655661,-79.39422811,virus: Orthohantavirus
Oligoryzomys costaricensis,5/30/2011,9.0655661,-79.39422811,virus: Orthohantavirus
Zygodontomys brevicauda,6/21/2006,8.333333,-80.516667,virus: Orthohantavirus
Zygodontomys brevicauda,3/3/2006,8.333333,-80.516667,virus: Orthohantavirus
Zygodontomys brevicauda,6/22/2006,8.333333,-80.516667,virus: Orthohantavirus
Liomys adspersus,3/19/2008,7.737059,-80.860096,
Reithrodontomys mexicanus,3/13/2018,8.893119972,-82.61489999,virus: Orthohantavirus
Reithrodontomys mexicanus,3/13/2018,8.89338199,-82.61507501,virus: Orthohantavirus
Peromyscus nudipes,3/13/2018,8.894007029,-82.61509504,virus: Orthohantavirus
Reithrodontomys mexicanus,3/14/2018,8.893054007,-82.616512,virus: Orthohantavirus
Reithrodontomys mexicanus,3/14/2018,8.893323988,-82.61614596,virus: Orthohantavirus
Reithrodontomys mexicanus,3/14/2018,8.892896008,-82.61480402,virus: Orthohantavirus
Reithrodontomys mexicanus,3/14/2018,8.89515996,-82.618899,virus: Orthohantavirus
Reithrodontomys mexicanus,3/15/2018,8.893415015,-82.61530501,virus: Orthohantavirus
Reithrodontomys mexicanus,3/15/2018,8.893723972,-82.61438099,virus: Orthohantavirus
Zygodontomys brevicauda,2/28/2012,7.57347,-80.96217,virus: Orthohantavirus
Zygodontomys brevicauda,3/1/2012,7.57347,-80.96217,virus: Orthohantavirus
Oligoryzomys costaricensis,3/2/2012,7.58981,-80.96586,virus: Orthohantavirus
Zygodontomys brevicauda,3/2/2012,7.574,-80.96183,virus: Orthohantavirus
Oligoryzomys costaricensis,1/4/2014,8.746058797,-80.1904309,virus: Orthohantavirus
Oligoryzomys costaricensis,2/21/2001,7.794309,-80.234252,virus: Orthohantavirus
Peromyscus nudipes,7/14/2001,8.770812,-82.568255,virus: Orthohantavirus
Reithrodontomys creper,7/14/2001,8.8,-82.541667,virus: Orthohantavirus
Reithrodontomys mexicanus,7/13/2001,8.8,-82.541667,virus: Orthohantavirus
Reithrodontomys mexicanus,7/14/2001,8.770812,-82.568255,virus: Orthohantavirus
Reithrodontomys sumichrasti,7/13/2001,8.770812,-82.568255,virus: Orthohantavirus
Reithrodontomys sumichrasti,7/14/2001,8.770812,-82.568255,virus: Orthohantavirus
Zygodontomys brevicauda,1/18/2001,7.656419,-80.119369,virus: Orthohantavirus
Oligoryzomys costaricensis,6/18/2002,8.082761,-80.51484,virus: Orthohantavirus
Peromyscus nudipes,11/27/2002,8.770812,-82.568255,virus: Orthohantavirus
Peromyscus nudipes,11/27/2002,8.770812,-82.568255,virus: Orthohantavirus
Peromyscus nudipes,11/28/2002,8.770812,-82.568255,virus: Orthohantavirus
Sigmodon hirsutus,12/11/2002,9.186185,-79.561841,virus: Orthohantavirus
Sigmodon hirsutus,7/26/2002,7.590406,-80.348864,virus: Orthohantavirus
Sigmodon hirsutus,7/27/2002,7.590406,-80.348864,virus: Orthohantavirus
Sigmodon hirsutus,7/28/2002,7.590406,-80.348864,virus: Orthohantavirus
Oligoryzomys costaricensis,9/28/2002,7.45,-80.35,virus: Orthohantavirus
